,item_no,embedding
1095,BA5852,"[ 0.07220764  0.03198496 -0.13459566 -0.18877909 -0.24583048 -0.48460662
 -0.05794759 -0.3374539   0.28642368  0.12796718  0.33074105  0.14488107
 -0.16875234 -0.0063478   0.20272833  0.4916117  -0.00712564  0.27717337
  0.3128392  -0.05615741 -0.20823678 -0.32779768  0.40778518  0.06667019
 -0.25442243 -0.11437916  0.49408707 -0.00832854  0.25414568 -0.17522386
 -0.12646398  0.15766865  0.22790529  0.29101714  0.2500532   0.34155494
  0.06728954  0.02464752 -0.37055838 -0.14775498  0.06834389  0.02505141
 -0.10380422  0.39495015  0.12634678 -0.11694467  0.2618188  -0.07691685
  0.03874812  0.09469344 -0.5596366  -0.3134166   0.30759177 -0.10537739
 -0.0646994  -0.30336124 -0.04089212 -0.17434686  0.24854958 -0.0638358
  0.15533565 -0.45275855 -0.2666403  -0.20871091  0.15264437  0.1513471
  0.00662464  0.25280637 -0.32051682  0.08695684  0.20353976  0.35785422
  0.17759058 -0.52072704  0.02672385  0.0513891   0.16993597  0.15550086
  0.1936827   0.11164927  0.11385496  0.17322579 -0.04455072  0.06574044
  0.0438335  -0.4048415  -0.19606018 -0.02956315 -0.05070014  0.5159861
  0.18753612  0.17095076  0.2358988   0.28995192 -0.2366592   0.41931483
  0.09525853  0.12670067 -0.60352814 -0.4353805  -0.18397251  0.09787171
 -0.09001715  0.29804617 -0.07674365 -0.26526967  0.09558537  0.21463686
  0.13838728  0.10416001 -0.34378576 -0.21261746 -0.28208506  0.45052293
  0.09091342 -0.18159986 -0.01033161  0.23819366  0.44400024  0.02356403
 -0.20480591 -0.36301714 -0.57849807 -0.3157367  -0.28386748  0.04892189
  0.24812266 -0.05974072]"
1096,BA5792,"[-0.06024656 -0.02091131 -0.01841446 -0.23090422 -0.3068891  -0.59192955
 -0.03704964 -0.36722887  0.15906812  0.08306722  0.30713743  0.19763234
  0.01723894 -0.14281279  0.3884127   0.7221664  -0.28716242  0.43548933
  0.30154663 -0.04601448  0.12493053 -0.21154723  0.37723142  0.17065185
 -0.15285018 -0.18853769  0.50670904 -0.01453483  0.01389499 -0.21664435
 -0.32461768  0.42274106  0.16392846 -0.04195782  0.28341419  0.4861468
 -0.21852389  0.20161763 -0.38530332 -0.01263086  0.06951308  0.25835717
 -0.23189421  0.5153956   0.20641144 -0.0492759   0.3824555  -0.18987417
  0.26133907  0.19620499 -0.52163243  0.09589356  0.38277772  0.00451867
 -0.03827627 -0.53978586 -0.06984665 -0.33125955  0.23080161 -0.19997324
  0.02670264 -0.46425283 -0.3884636  -0.07372154  0.21280277  0.14338773
  0.08693486  0.13728261 -0.47906822  0.12803227  0.12580287  0.14489907
  0.31826898 -0.387572   -0.02718516 -0.0558443   0.2631626  -0.05662929
  0.1196989   0.24083553 -0.02238969 -0.02929426  0.01703299 -0.04544026
  0.16610637 -0.23050684 -0.417299    0.07083008  0.0168722   0.5271985
  0.25966704  0.10879764  0.24739659  0.2233189  -0.28348988  0.4699921
  0.07779799  0.12644124 -0.5455641  -0.6877861  -0.11756753  0.10505073
  0.1732679   0.39873385  0.02365208 -0.30033904  0.0411246   0.2077651
  0.16072325 -0.00329001 -0.1856551  -0.14795747 -0.5256264   0.5100044
  0.13105449 -0.1666458  -0.10804812  0.31896582  0.31865188  0.2969097
 -0.44596657 -0.44120172 -0.47458878 -0.16847792 -0.20612942  0.34750015
  0.45366144 -0.26027554]"
1097,BA4957,"[ 0.00556037  0.08815361 -0.1759209  -0.15078712 -0.22296482 -0.4004231
 -0.03459458 -0.3009117   0.30551577  0.12514427  0.28711304  0.02639029
 -0.19299218 -0.0018648   0.10110153  0.37857443 -0.0676642   0.2343283
  0.27895105 -0.00190487 -0.18195604 -0.20984966  0.25393426  0.0587131
 -0.17293292 -0.09327865  0.4111476  -0.02303688  0.1767228  -0.21047631
 -0.18302779  0.09562033  0.1999167   0.35014352  0.20574921  0.20555073
  0.11260851  0.09936964 -0.2789048  -0.09061149  0.0170285   0.00946681
 -0.04612791  0.333713    0.13392377 -0.09437653  0.10741159  0.0136453
  0.01542213  0.0087816  -0.40335763 -0.2747923   0.19904305 -0.11160057
  0.02878856 -0.18257052 -0.06169897 -0.18754098  0.2415357  -0.02128758
  0.19789702 -0.4501214  -0.30383134 -0.08423521  0.07559334 -0.00124718
  0.05942528  0.15250394 -0.30351657  0.01002878  0.0479947   0.2985504
  0.22161523 -0.47289285  0.11463123  0.0930799   0.26314303  0.09628995
  0.06480234  0.02808195 -0.01299456  0.13661878 -0.06835806  0.10782182
 -0.03284432 -0.29293007 -0.2604484  -0.04760013 -0.10732366  0.39100516
  0.11786718  0.13681996  0.18111864  0.24746644 -0.31295866  0.36701548
 -0.05041106  0.13537362 -0.47667092 -0.35716456 -0.11354948  0.06689186
 -0.06946077  0.25125405 -0.06156892 -0.30931175  0.10490157  0.19039437
  0.14471428  0.0362933  -0.29469913 -0.04838889 -0.17783307  0.28906238
  0.14248323 -0.0906812  -0.00175125  0.22715658  0.25053173 -0.01872262
 -0.17365557 -0.3824977  -0.4922902  -0.28204557 -0.3062812   0.09933816
  0.16165827  0.03848675]"
1098,BA5257,"[ 0.06373334  0.03573163 -0.07464659 -0.19989106 -0.2579791  -0.5742867
 -0.11072767 -0.33693063  0.26323736  0.165156    0.31739232  0.1253486
 -0.03917962 -0.10820854  0.2932458   0.56932986 -0.19864017  0.37682268
  0.33305377 -0.04705303 -0.02971336 -0.24052557  0.4099525   0.19902387
 -0.15047464 -0.07862388  0.41230327  0.00879244  0.1047627  -0.21821311
 -0.32213986  0.21019247  0.09707905  0.07650944  0.3145885   0.37510344
 -0.12644193  0.08297472 -0.35932928 -0.05950858  0.0164005   0.11543141
 -0.19718842  0.38362345  0.18732047 -0.0155461   0.24210015 -0.04549449
  0.14230928  0.15284356 -0.4373222  -0.15451787  0.3504815  -0.12832631
 -0.08302431 -0.42664272 -0.03555376 -0.26910824  0.29745921 -0.09152958
  0.1955228  -0.4860103  -0.3778352  -0.09256782  0.11052562  0.04347812
  0.03160412  0.21286923 -0.37731314  0.0606853   0.10512867  0.19924602
  0.31044605 -0.3906186  -0.03724323  0.0387792   0.2081913  -0.04038075
  0.21832165  0.25080007 -0.04230008  0.1362636   0.02678267  0.02769565
  0.11696784 -0.34937114 -0.3474996  -0.00851247  0.00115033  0.40102407
  0.21899116  0.10257651  0.20332265  0.3563561  -0.2368235   0.45910704
  0.03495158  0.07772399 -0.54239964 -0.60317504 -0.16103545  0.08831566
  0.02976149  0.32433292  0.0237002  -0.24381004  0.04251772  0.28718036
  0.14383703  0.07809851 -0.25938267 -0.08700565 -0.34364164  0.42088193
  0.23404235 -0.16845939 -0.06112259  0.35281798  0.37881538  0.1722649
 -0.34033808 -0.39084187 -0.5160907  -0.29116976 -0.22183873  0.13347243
  0.34914517 -0.1219191 ]"
1099,CA2449,"[ 0.06061336  0.02624139 -0.13492593 -0.320249   -0.25914124 -0.7685975
 -0.10119961 -0.39176035  0.36593914  0.1695633   0.48454192  0.19800633
 -0.10932671 -0.15663713  0.3879736   0.66405904 -0.16469255  0.44041613
  0.3555702  -0.06422384 -0.02863139 -0.32631785  0.59432995  0.28569415
 -0.15089956 -0.1019795   0.46093386 -0.00346383  0.12997317 -0.26040652
 -0.3334158   0.21431911  0.22560228  0.0435042   0.33662012  0.52971894
 -0.19591609  0.0788063  -0.41572082 -0.01508942  0.02869321  0.15954584
 -0.26952922  0.6248004   0.19909966 -0.07064834  0.30979177 -0.10708534
  0.17085001  0.19577304 -0.49577403 -0.10565652  0.49000826 -0.12120056
 -0.13019042 -0.65938073 -0.05284541 -0.261572    0.29739657 -0.14140385
  0.06669907 -0.5424113  -0.3054454  -0.21478069  0.18368989  0.07196677
 -0.10871337  0.30570704 -0.40994567  0.04047446  0.2569858   0.37064445
  0.3937673  -0.48450673 -0.04279003 -0.04271159  0.22133183 -0.04380666
  0.32997534  0.31456476 -0.02386541  0.11226207 -0.00254243  0.04515934
  0.04839421 -0.40345296 -0.52478015 -0.01211696  0.00580511  0.50989354
  0.33691564  0.12717514  0.336343    0.22522417 -0.25586426  0.5370113
  0.14653306  0.08334336 -0.56466377 -0.69652677 -0.07536139  0.05925905
  0.01957835  0.2559659   0.01553924 -0.15444848 -0.00722078  0.34931695
  0.17672378  0.14640935 -0.35539973 -0.13734394 -0.54056954  0.5874025
  0.2572306  -0.19270992 -0.06181467  0.47150293  0.41496864  0.2117047
 -0.5089605  -0.3592054  -0.63380206 -0.37748095 -0.21141121  0.20990594
  0.427933   -0.13872834]"
1100,DA9094,"[ 1.36708051e-01  1.65283263e-01 -1.61696494e-01 -1.41074881e-01
 -2.50514954e-01 -2.19055995e-01 -7.95437694e-02 -3.23390037e-01
  2.32044816e-01 -9.00389999e-03  9.42161456e-02 -4.07693833e-02
 -2.39165336e-01  1.64553493e-01  1.84974521e-01  3.71301204e-01
  3.87928411e-02  1.73078835e-01  2.49407127e-01  2.41331719e-02
 -2.09619477e-01 -1.47974163e-01  1.44038826e-01 -8.25166628e-02
 -2.95528412e-01 -1.17754184e-01  3.10632378e-01 -2.45653652e-02
  3.53543878e-01 -3.01758885e-01  1.74462050e-02  3.00484709e-03
  2.53868043e-01  4.24806386e-01  1.36134923e-02  1.75883383e-01
  1.30155444e-01  5.41702844e-03 -2.86078990e-01 -2.81538010e-01
  8.49129558e-02 -2.59790830e-02  1.37715116e-01  3.17116290e-01
  1.31714895e-01 -4.76553440e-02  1.08264044e-01  2.58207694e-02
  3.57285887e-03 -8.47729370e-02 -4.40472096e-01 -3.41110229e-01
 -1.48212425e-02 -9.98631120e-02 -1.03026830e-01 -4.17051539e-02
  2.83221453e-02 -2.12863252e-01  1.71754658e-01  2.70388797e-02
  2.18173638e-01 -3.45913351e-01 -2.09912956e-01 -1.64923131e-01
  1.50837630e-01  1.07784264e-01  8.69569182e-02  1.30052805e-01
 -1.27571732e-01  1.30379945e-01  7.17913210e-02  3.30244243e-01
  1.73516572e-04 -6.01954818e-01  2.07411945e-01  1.58005953e-01
  1.74097121e-01  3.29559565e-01  1.75294667e-01 -1.32740468e-01
  1.39981017e-01  1.27725452e-01 -5.98448999e-02  1.94999486e-01
 -5.37686497e-02 -4.43867713e-01 -1.05783790e-01 -7.24335760e-02
 -2.78407335e-01  5.33162236e-01  1.69355839e-01  5.21527082e-02
  1.81003660e-01  1.16284035e-01 -2.43829206e-01  3.30845922e-01
 -4.51797545e-02  2.26834506e-01 -5.05343318e-01 -1.79358840e-01
 -1.78747028e-01  2.08389461e-01 -2.82695860e-01  2.21127152e-01
 -2.39162147e-01 -2.38730192e-01  2.00869232e-01 -9.03246775e-02
  1.85573950e-01  1.78866595e-01 -2.84873039e-01 -2.01036096e-01
 -7.85786435e-02  3.86235535e-01 -6.79828227e-02 -2.17923820e-01
  1.41699120e-01  6.13192022e-02  1.95913196e-01 -1.03117384e-01
 -5.26914224e-02 -3.78450751e-01 -3.80022556e-01 -3.31580639e-01
 -4.18726325e-01  4.29521576e-02  4.64928746e-02  6.41013086e-02]"
1101,CA1850,"[ 0.07279055  0.05236537 -0.10599888 -0.14005001 -0.26249433 -0.4056964
 -0.07375108 -0.32494903  0.35654718  0.10480276  0.26007247  0.11296827
 -0.18867043  0.07831963  0.15535524  0.3975288   0.00834773  0.27650484
  0.41888142 -0.11486614 -0.21692365 -0.29700187  0.331702    0.08188427
 -0.27163634 -0.1210326   0.46083137 -0.09112212  0.30140924 -0.25591475
 -0.14720348  0.1016302   0.23858301  0.31167692  0.20197019  0.22055623
  0.11945175  0.00160682 -0.30431765 -0.20306808  0.14580326 -0.01627691
 -0.04552419  0.3512994   0.11620928 -0.09766205  0.1676527  -0.05672825
  0.00265612  0.06189907 -0.5259194  -0.33591473  0.18325211 -0.08477642
 -0.05286156 -0.1955835  -0.0297372  -0.1736145   0.26508966  0.00795685
  0.22092661 -0.44540608 -0.2970617  -0.16090024  0.09506966  0.154681
  0.00639242  0.22530183 -0.2835421   0.07738432  0.21056268  0.3668846
  0.14098111 -0.5722391   0.13354033  0.07662349  0.18171278  0.20264056
  0.20125821  0.07045816  0.15492535  0.1951702  -0.065354    0.06512781
 -0.02282615 -0.4164515  -0.17081326 -0.07834164 -0.07255328  0.518772
  0.13535112  0.23043828  0.2289446   0.3048424  -0.267545    0.4108199
  0.03691516  0.16383529 -0.5701063  -0.31694317 -0.22609493  0.0949605
 -0.18824589  0.28786507 -0.13527247 -0.23727444  0.19062719  0.17901373
  0.16196325  0.12216005 -0.32908982 -0.17748961 -0.16877735  0.42429635
  0.06938551 -0.1678895   0.03476559  0.18122739  0.43569845 -0.00742514
 -0.09910319 -0.44542983 -0.5145897  -0.3492699  -0.31465012  0.03881064
  0.23657835 -0.02484879]"
1102,CA1987,"[ 6.15190901e-03  5.75484224e-02 -1.05024718e-01 -1.63789243e-01
 -2.33720660e-01 -3.54724407e-01 -8.87591839e-02 -2.77378708e-01
  3.06657404e-01  7.94566125e-02  2.26193219e-01 -2.30525881e-02
 -1.77378505e-01  6.70365542e-02  1.38306171e-01  2.94159919e-01
 -2.73137167e-02  2.80867279e-01  3.23625028e-01 -6.71925843e-02
 -1.55293718e-01 -2.64483869e-01  2.44694322e-01  6.52789101e-02
 -1.47152871e-01 -7.76551738e-02  3.54339063e-01 -6.52418509e-02
  1.90012008e-01 -2.22773075e-01 -3.18819880e-02  1.29463956e-01
  1.94743499e-01  3.59886110e-01  1.73950180e-01  2.00186014e-01
  5.37732765e-02  3.25686112e-03 -2.25557551e-01 -2.13071406e-01
  1.47171929e-01  5.92610575e-02 -6.39093667e-02  2.91735470e-01
  8.92836452e-02 -4.60985750e-02  1.17574111e-01  1.76114440e-02
 -2.94975936e-04 -4.49492298e-02 -4.15463239e-01 -2.08661482e-01
  1.53052285e-01 -4.54031862e-02 -4.16199006e-02 -1.78417653e-01
 -7.05289766e-02 -1.93408445e-01  2.22963065e-01 -5.53758442e-02
  1.24938473e-01 -4.42064643e-01 -3.36472392e-01 -1.21546753e-01
  5.07395715e-02  3.38971466e-02  4.56594378e-02  1.91118270e-01
 -2.35526100e-01  6.25275895e-02  5.15968353e-02  2.49162614e-01
  1.04189664e-01 -5.19888878e-01  1.09136559e-01  9.30494741e-02
  2.34271944e-01  1.15653507e-01  8.37252811e-02  2.92306095e-02
  5.78486919e-02  1.44127503e-01 -7.14629143e-02  1.00539461e-01
 -6.39905259e-02 -3.54715019e-01 -1.94274634e-01 -4.78059724e-02
 -2.14577988e-01  4.37043875e-01  9.02412534e-02  1.79701507e-01
  2.03473836e-01  2.58216262e-01 -2.36414209e-01  3.82755041e-01
  6.04363158e-03  1.57614380e-01 -3.77423197e-01 -2.81270027e-01
 -1.54848620e-01  2.26215795e-02 -7.19315559e-02  2.74862230e-01
 -1.15059242e-01 -3.02426517e-01  2.06608176e-01  6.23844340e-02
  2.02147469e-01  1.17213421e-01 -1.86753571e-01 -8.12886506e-02
 -9.99381542e-02  2.12968439e-01  8.83228853e-02 -5.66867068e-02
  1.09187439e-02  1.23891652e-01  3.00109714e-01  5.10556251e-03
 -1.20226204e-01 -4.20431405e-01 -4.31313962e-01 -3.45559597e-01
 -3.75733316e-01  8.71959180e-02  2.00336456e-01  1.53559074e-03]"
1103,CA2022,"[ 2.33574547e-02  7.22693428e-02 -2.02101231e-01 -6.74504340e-02
 -1.64984524e-01 -3.34288955e-01 -4.53607216e-02 -3.21203828e-01
  3.41475427e-01  7.34410211e-02  1.71194315e-01  4.14556637e-03
 -2.28193253e-01  1.03898466e-01  3.93230692e-02  3.52674067e-01
  5.24824709e-02  1.97545797e-01  3.81433606e-01 -4.88296822e-02
 -2.09702805e-01 -2.04114288e-01  1.46915525e-01  1.84402540e-02
 -1.92099035e-01 -1.47894815e-01  3.56818080e-01 -8.71176124e-02
  2.70979464e-01 -2.84961730e-01 -1.36813611e-01  1.39746070e-02
  2.65281975e-01  3.62248451e-01  1.21155873e-01  1.44499391e-01
  1.70590073e-01  7.20665678e-02 -2.72945225e-01 -1.95666343e-01
  9.98250395e-02 -2.50423141e-02  2.57954001e-02  1.93997562e-01
  1.41378596e-01 -1.29311934e-01  6.01043552e-02 -6.47895560e-02
  5.75594604e-04 -2.86190026e-02 -3.64113182e-01 -3.14053476e-01
  1.55394256e-01 -8.07209909e-02 -8.56147781e-02 -8.86963010e-02
 -2.81961560e-02 -1.87217772e-01  1.60832286e-01  4.64418270e-02
  2.43385479e-01 -3.16292524e-01 -2.94271082e-01 -9.75710526e-02
  8.77726972e-02  8.71816054e-02  1.62806697e-02  1.62550718e-01
 -2.81025410e-01  2.97838375e-02  1.09903947e-01  3.33827049e-01
  6.03051335e-02 -5.17064929e-01  1.35804951e-01  1.05154350e-01
  1.69033796e-01  2.21718192e-01  1.34957105e-01 -2.62666233e-02
  3.94820943e-02  1.02891430e-01 -7.47349784e-02  3.76395732e-02
  1.15336925e-02 -4.65451747e-01 -2.05841988e-01 -1.05827913e-01
 -1.12196349e-01  4.48182285e-01  9.34599712e-02  1.17537037e-01
  1.09507151e-01  2.68168420e-01 -2.53228724e-01  3.73943329e-01
 -5.17851114e-02  2.18329489e-01 -5.91527343e-01 -2.54071444e-01
 -2.21745461e-01  1.11105449e-01 -1.31071210e-01  2.61142820e-01
 -1.20487973e-01 -2.99852520e-01  1.03595309e-01  1.50201261e-01
  1.45293102e-01  1.07362702e-01 -2.91418314e-01 -7.60056674e-02
 -1.28582478e-01  3.60109746e-01  3.31691206e-02 -1.64683193e-01
  1.23488240e-01  2.07679465e-01  2.91443706e-01 -7.31246620e-02
 -4.45270427e-02 -3.65657091e-01 -5.20234227e-01 -2.88626462e-01
 -3.15115511e-01  3.09221074e-02  1.43757194e-01  4.42600921e-02]"
1104,BA5301,"[ 2.54147090e-02  1.10161908e-01 -1.70788854e-01 -1.28979087e-01
 -3.03084701e-01 -4.99587834e-01 -7.12125674e-02 -3.01339746e-01
  3.79425496e-01  1.74982011e-01  3.49990100e-01  1.42217368e-01
 -1.60785019e-01 -2.54335403e-02  1.82426751e-01  5.23881555e-01
 -3.08413804e-03  3.30915421e-01  3.72671008e-01 -1.24350935e-02
 -1.48177043e-01 -3.00400764e-01  3.82935166e-01  1.06832989e-01
 -2.54912108e-01 -1.59250215e-01  4.68870401e-01  1.24225169e-02
  2.15910256e-01 -2.17050165e-01 -2.23777995e-01  2.17615724e-01
  2.50499964e-01  2.68323332e-01  1.89061761e-01  3.38089883e-01
  5.14413789e-02  1.00679629e-01 -3.51920128e-01 -8.42884779e-02
  5.22394478e-02 -2.65474617e-02 -1.12351850e-01  4.48677063e-01
  1.38677463e-01 -4.37341630e-02  1.87019318e-01 -8.17287788e-02
  1.11732759e-01  1.34486169e-01 -4.77526248e-01 -2.70775318e-01
  2.84993201e-01 -9.46092680e-02 -5.09739667e-02 -2.64151692e-01
 -3.16176489e-02 -1.96414128e-01  3.10091168e-01 -1.32208690e-03
  1.96658030e-01 -4.81232226e-01 -3.50261211e-01 -1.53719783e-01
  8.27540904e-02  8.55917335e-02  2.24779956e-02  1.94319934e-01
 -4.16420817e-01  2.98097730e-05  1.28333971e-01  3.80903721e-01
  3.09634119e-01 -5.21236539e-01  2.00676322e-02  1.26140445e-01
  3.31087381e-01  7.80965686e-02  1.78989798e-01  1.56043753e-01
  3.39321420e-02  1.36017084e-01 -3.48227136e-02 -7.23018497e-03
  2.60460265e-02 -4.33639586e-01 -3.29542041e-01 -7.64322802e-02
 -6.28148690e-02  4.96525884e-01  2.46956140e-01  1.52498066e-01
  2.30627656e-01  2.48876035e-01 -2.69559026e-01  4.48321939e-01
  1.26281828e-02  1.85369283e-01 -6.17690861e-01 -4.54931259e-01
 -1.79166347e-01  2.54466534e-02 -1.53510608e-02  3.09509158e-01
 -5.24949208e-02 -2.61446357e-01  4.65445817e-02  2.21588552e-01
  9.17706564e-02  1.62935913e-01 -3.25808823e-01 -1.96007729e-01
 -3.52029800e-01  5.71890116e-01  1.11543752e-01 -1.76597774e-01
  4.63983193e-02  2.98093617e-01  3.65265638e-01  2.12289244e-02
 -2.51467705e-01 -3.86306942e-01 -6.21151507e-01 -2.94437051e-01
 -3.04985940e-01  1.60283342e-01  2.43764460e-01 -3.05111110e-02]"
1105,DA9283,"[ 0.10250631  0.14765176 -0.15966487 -0.03809606 -0.25803107 -0.3071943
 -0.05905728 -0.2455661   0.34465945 -0.06129503  0.1503433  -0.01473173
 -0.28338373  0.19419858  0.18030462  0.31941053  0.0242555   0.09876482
  0.37631834 -0.06501351 -0.27099138 -0.20036653  0.15374675 -0.00935992
 -0.29268402 -0.15771292  0.3548553  -0.08473766  0.37705138 -0.30596277
 -0.05758284 -0.00754595  0.25759357  0.4154075   0.07022937  0.1596373
  0.1995376   0.06288552 -0.30962372 -0.34171122  0.11519761  0.00396316
  0.13949849  0.3075055   0.09490503 -0.19062427  0.03479213 -0.05967476
  0.01392435  0.01354809 -0.45643902 -0.42748433  0.05361376 -0.09622587
 -0.0766458  -0.01557082  0.04740248 -0.23283388  0.18400244  0.07829184
  0.24172436 -0.30193454 -0.23830736 -0.18066972  0.11675696  0.1331214
 -0.02022006  0.15329388 -0.12189549  0.06660815  0.10968985  0.36692327
  0.00600204 -0.65236115  0.2342048   0.13630827  0.11588045  0.296486
  0.20168808 -0.15861264  0.13005875  0.15759645 -0.0518495   0.12498488
 -0.04056668 -0.4499352  -0.16179569 -0.11841484 -0.26304257  0.54060644
  0.09919892  0.1548179   0.2482993   0.1788683  -0.28522655  0.37243098
 -0.0529051   0.27123946 -0.6225537  -0.18511473 -0.16734105  0.18168592
 -0.29707983  0.2560001  -0.22790113 -0.24215798  0.2563904   0.01795938
  0.13554507  0.20725049 -0.38933706 -0.2313756  -0.10801323  0.442685
 -0.07232443 -0.26301306  0.11783627  0.12640227  0.28567383 -0.11761169
  0.02289183 -0.3945542  -0.41620013 -0.38912386 -0.3377568   0.04554772
  0.06296256  0.052682  ]"
1106,BA5697,"[ 3.50136533e-02  6.00947514e-02 -1.25887632e-01 -5.20859510e-02
 -2.09539175e-01 -3.20908785e-01 -4.65045273e-02 -2.66386151e-01
  3.40100884e-01  7.06861615e-02  1.93311214e-01  2.09538266e-02
 -2.35434771e-01  1.00283898e-01  1.43104315e-01  3.88404578e-01
  2.01769024e-02  2.40088165e-01  3.13558161e-01 -4.18737233e-02
 -2.18221292e-01 -2.43440628e-01  1.94644839e-01 -2.37601325e-02
 -2.89237767e-01 -1.54776722e-01  3.58939767e-01 -6.33765981e-02
  3.00163984e-01 -2.85566032e-01 -1.48871541e-01  4.25481573e-02
  2.83910990e-01  3.64244163e-01  1.53444141e-01  2.11988270e-01
  1.19821467e-01  8.93000811e-02 -2.79861927e-01 -2.49934882e-01
  1.04568347e-01 -4.02396768e-02 -1.14065260e-02  2.79464960e-01
  1.54669642e-01 -8.52169245e-02  1.39181748e-01 -6.54432401e-02
 -1.06535852e-04  1.31700709e-02 -4.49775219e-01 -3.15348268e-01
  1.44002050e-01 -6.54690713e-02 -1.20517947e-02 -1.23805150e-01
  2.64564380e-02 -2.01065585e-01  2.04406798e-01 -1.92218237e-02
  2.01701477e-01 -3.53111327e-01 -2.82279670e-01 -1.61300689e-01
  9.47716981e-02  1.05374925e-01 -1.15058459e-02  1.50969863e-01
 -2.63592184e-01  4.41586189e-02  1.22589409e-01  3.40471178e-01
  8.27519819e-02 -5.78599155e-01  8.31040516e-02  1.38062626e-01
  1.97288096e-01  1.95478231e-01  1.86567903e-01  2.11181343e-02
  8.77563506e-02  1.46231204e-01 -6.62172735e-02  6.60290420e-02
 -9.63633880e-03 -4.00413454e-01 -1.82327047e-01 -6.98377863e-02
 -2.01065645e-01  4.87103969e-01  1.72385484e-01  1.43400729e-01
  1.69203192e-01  2.53295958e-01 -2.56480753e-01  3.80976230e-01
 -3.71506214e-02  2.50772148e-01 -6.11110449e-01 -2.75149822e-01
 -2.22999871e-01  1.42802775e-01 -1.53719336e-01  2.86833733e-01
 -1.80419713e-01 -2.53851295e-01  1.28631175e-01  7.51721486e-02
  1.89644113e-01  1.40136063e-01 -2.89487600e-01 -1.60184592e-01
 -1.61986634e-01  3.97960365e-01  2.94852331e-02 -1.56731367e-01
  7.81739205e-02  1.46758035e-01  2.82361507e-01 -5.57013080e-02
 -7.79309273e-02 -3.43402058e-01 -4.93261784e-01 -3.37692380e-01
 -3.27517927e-01  4.82530743e-02  1.33431762e-01  6.17319793e-02]"
1107,BA5108,"[ 0.01417556 -0.039964    0.00414669 -0.35030627 -0.09066235 -0.6109954
 -0.25387982 -0.32596302  0.10586121  0.17883149  0.37825435  0.05255769
 -0.01076712 -0.39713836  0.51062393  0.592502   -0.3897439   0.56941336
  0.00604084  0.18819714  0.13031682 -0.03637097  0.55969775  0.13309172
 -0.07213178 -0.15811208  0.3251722   0.05652221 -0.05942572 -0.15441844
 -0.28167766  0.4304057   0.02564345 -0.04788784  0.1301121   0.49375403
 -0.27865416  0.30026403 -0.38925326 -0.05856698 -0.12057118  0.22881788
 -0.2543853   0.69263583  0.29746652  0.01633438  0.45492563 -0.14050403
  0.24049401  0.05772833 -0.4500453   0.14992507  0.31485215 -0.0197978
 -0.10063472 -0.7682325  -0.00746311 -0.3136295   0.3115211  -0.27044615
 -0.01068893 -0.45348388 -0.26318932 -0.095167    0.30396244  0.10325656
  0.13301972  0.08441794 -0.39405984  0.24791077 -0.04057948  0.06801838
  0.5152608  -0.23347753 -0.08941207 -0.15410498  0.41706714 -0.16514155
  0.07317167  0.36716074 -0.03939991  0.00915233 -0.06957543  0.1798835
  0.29223016 -0.03512695 -0.47027126  0.14183319  0.08687028  0.42750797
  0.19349322 -0.1220057   0.4244006   0.08238632 -0.24481432  0.4607213
 -0.03677895  0.00698888 -0.267538   -0.6661664   0.04860219  0.06666275
  0.10701629  0.16167319  0.19751936 -0.31744158 -0.33862346  0.15807477
  0.16356775  0.16467166 -0.0932513  -0.17951387 -0.5413351   0.4074116
  0.3387814  -0.10993079 -0.15205327  0.3392049   0.04653783  0.24090034
 -0.7414374  -0.3536148  -0.36855093 -0.11374317 -0.07244331  0.22205743
  0.44697157 -0.20812657]"
